customer_id,customer_name,city
789402,Propel Mart,Ahmedabad
789202,Rel Fresh,Ahmedabad
789902,Elite Mart,Ahmedabad
789102,Vijay Stores,Ahmedabad
789221,Atlas Stores,Ahmedabad
789321,Chiptec Stores,Ahmedabad
789621,Expert Mart,Ahmedabad
789121,Coolblue,Ahmedabad
789421,Lotus Mart,Ahmedabad
789521,Acclaimed Stores,Ahmedabad
789702,Sorefoz Mart,Ahmedabad
789721,Logic Stores,Ahmedabad
907001,LA Mart,Los Angeles
368602,Aman Grocery Store,Los Angeles
789220,Atlas Stores,Surat
789420,Lotus Mart,Surat
789201,Rel Fresh,Surat
789501,Viveks Stores,Surat
789401,Propel Mart,Surat
789320,Chiptec Stores,Surat
789301,Expression Stores,Surat
789101,Vijay Stores,Surat
789520,Acclaimed Stores,Surat
789720,Logic Stores,Surat
789601,Info Stores,Surat
789903,Elite Mart,Vadodara
789303,Expression Stores,Vadodara
789622,Expert Mart,Vadodara
789603,Info Stores,Vadodara
789203,Rel Fresh,Vadodara
789422,Lotus Mart,Vadodara
789403,Propel Mart,Vadodara
789503,Viveks Stores,Vadodara
789122,Coolblue,Vadodara
789522,Acclaimed Stores,Vadodara
789703,Sorefoz Mart,Vadodara
789103,Vijay Stores,Vadodara
